temp,avgDW,avgChl,treatment_type,type,se_DW,se_Chl
2,-0.3301891218,-0.7759357497,control,DR,0.1302133576,0.3179887642
5,-0.5965212863,-1.322673228,control,DR,0.1481628324,0.3452742838
10,-1.373040205,-3.105595051,control,DR,0.1957970691,0.5209133045
15,-2.37603789,-5.331601022,control,DR,0.335779548,0.862594258
20,-3.79677438,-8.549245862,control,DR,0.4722643054,1.285962096
25,-4.729260602,-10.74143561,control,DR,0.7215982949,1.899964476
30,-6.171245042,-14.37345277,control,DR,1.125695946,3.008431936
2,-0.4429332188,-0.8790002746,treatment,DR,0.1434038783,0.3206863114
5,-0.3941143517,-0.7724383734,treatment,DR,0.1186482681,0.2371144634
10,-1.508475153,-2.962944722,treatment,DR,0.3837433737,0.8200476887
15,-2.517301215,-4.963118982,treatment,DR,0.739721852,1.583642708
20,-3.746642224,-7.372184042,treatment,DR,0.998245746,2.150100949
25,-4.70071503,-9.310804801,treatment,DR,1.168485708,2.575976397
30,-6.769607997,-13.42672081,treatment,DR,1.625584905,3.775568504
2,1.252326816,2.958337715,control,NP,0.4681425279,1.148837179
5,0.9957209812,2.16925218,control,NP,0.267076508,0.5448863527
10,1.332053254,2.843764088,control,NP,0.4121275045,0.7327671205
15,0.4879866526,1.016929522,control,NP,0.7103072592,1.626056403
20,-0.6376729514,-1.595085801,control,NP,0.6713333611,1.439007871
25,-1.626804217,-3.725857043,control,NP,0.6103972883,1.447641164
30,-2.095301876,-4.732109819,control,NP,0.5418263214,1.0932404
2,2.401192749,4.889942516,treatment,NP,0.5733274771,1.568677885
5,1.294006981,2.626919543,treatment,NP,0.4923945977,1.149403008
10,2.51097698,4.905717291,treatment,NP,0.7661852037,1.523693514
15,2.554641323,5.06483684,treatment,NP,0.5746368961,1.316200194
20,1.261461698,2.451737376,treatment,NP,0.5492583578,1.003913891
25,0.4504339976,0.9096821704,treatment,NP,0.7153965873,1.251465476
30,-1.360120216,-2.307874343,treatment,NP,1.134728704,1.798055771
